Name,Image_link,Developer(s),Publisher(s),Producer(s),Programmer(s),Artist(s),Composer(s),Platform(s),Release,Genre(s),Mode(s),Source,Metascore,User Score,Designer(s),Writer(s),Director(s),Series,Engine
RPM Racing,https://en.wikipedia.org/wiki/File:RPM_Racing_cover.jpg,Silicon & Synapse,"['Interplay Productions', 'Victor Musical Industries']",Michael Quarles,Allen Adham,Rob Nesler,George Alistair Sanger,"['Super NES', 'Windows', 'Switch', 'PlayStation 4', 'Xbox One']","March 19, 1992",Racing,"['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/RPM_Racing,N/A,N/A,,,,,
The Lost Vikings,https://en.wikipedia.org/wiki/File:The_Lost_Vikings_SNES_cover.jpg,Silicon & Synapse,"['Interplay Productions', 'T&E Soft', 'Blizzard Entertainment']",,,,Charles Deenen,"['Super Nintendo', 'Genesis', 'Amiga', 'MS-DOS', 'Amiga CD32', 'Game Boy Advance', 'Windows', 'Switch', 'PlayStation 4', 'Xbox One']","April 29, 1993",Puzzle-platform,"['Single-player', 'cooperative']",https://en.wikipedia.org/wiki/The_Lost_Vikings,N/A,N/A,Ron Millar,,,,
Rock n' Roll Racing,https://en.wikipedia.org/wiki/File:Rock_N%27_Roll_Racing_Cover.jpg,['Software Creations'],"['Interplay Productions', 'Namco', 'Blizzard Entertainment']",,"['Bob Fitch', 'Patrick Wyatt', 'Ayman Adham']","['Samwise Didier', 'Ronald Millar Sr.', 'Joeyray Hall']",Tim Follin and Geoff Follin,"['Super NES', 'Mega Drive/Genesis', 'Game Boy Advance', 'Microsoft Windows', 'Xbox One', 'PlayStation 4', 'Nintendo Switch']","June 04, 1993",Racing,"['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/Rock_n%27_Roll_Racing,N/A,N/A,Alan Pavlish,,,,
The Death and Return of Superman,https://en.wikipedia.org/wiki/File:The_Death_and_Return_of_Superman.png,"['Blizzard Entertainment', 'Sunsoft']",Sunsoft,,"['James Edward Anhalt III', 'Allen Adham', 'Bob Fitch']","['Samwise Didier', 'David Berggren', 'Roman Kenney', 'Joeyray Hall', 'Stuart Rose', 'Ronald Millar Sr.']","['Michael Morhaime', 'Glenn Stafford']","['Super NES', 'Sega Genesis']",,Beat 'em up,Single player,https://en.wikipedia.org/wiki/The_Death_and_Return_of_Superman,N/A,N/A,Dan MacArthur,,,,
Blackthorne,https://en.wikipedia.org/wiki/File:BlackthorneSNES.jpg,Blizzard Entertainment,Interplay Productions,"['Ronald Millar Sr.', 'Matthew Findley']","['Frank Pearce Jr.', 'Patrick Wyatt']","['Roman Kenney', 'Stuart Rose', 'Jason Magness', 'Ronald Millar Sr.', 'Samwise Didier']",Glenn Stafford,"['SNES', 'MS-DOS', 'Sega 32X', 'Classic Mac OS', 'Game Boy Advance', 'Microsoft Windows', 'Xbox One', 'PlayStation 4', 'Nintendo Switch']","February 20, 2021",Platform,Single-player,https://en.wikipedia.org/wiki/Blackthorne,N/A,N/A,Ronald Millar Sr.,"['Micky Neilson', 'Ronald Millar Sr.', 'Frank Pearce Jr.']",,,
Warcraft: Orcs & Humans,https://en.wikipedia.org/wiki/File:Warcraft_-_Orcs_%26_Humans_Coverart.png,Blizzard Entertainment,['EU:Interplay Productions'],"['Bill Roper', 'Patrick Wyatt']","['Bob Fitch', 'Jesse McReynolds', 'Michael Morhaime', 'Patrick Wyatt']",,Gregory Alper,"['MS-DOS', 'Classic Mac OS']","November 15, 1994",Real-time strategy,"['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/Warcraft:_Orcs_%26_Humans,N/A,N/A,,,Patrick Wyatt,Warcraft,
Justice League Task Force,https://en.wikipedia.org/wiki/File:Justice_League_Task_Force_game_cover.jpg,"['Sunsoft', 'Super NES', 'Blizzard Entertainment', 'Mega Drive/Genesis', 'Condor, Inc.']",Acclaim Entertainment,,,,"['Matt Uelmen', 'Glenn Stafford']","['Genesis', 'Super NES']","September 01, 1995",Fighting,"['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/Justice_League_Task_Force_(video_game),N/A,N/A,,,,,
Warcraft II: Tides of Darkness,https://en.wikipedia.org/wiki/File:Warcraft-2-Tides-Of-Darkness-Pc.jpg,Blizzard Entertainment,Davidson & Associates,"['Sam Didier', 'Michael Morhaime', 'Patrick Wyatt']","['Bob Fitch', 'Jesse McReynolds', 'Michael Morhaime']",,Glenn Stafford,"['MS-DOS', 'Classic Mac OS', 'Saturn', 'PlayStation', 'Microsoft Windows']","December 09, 1995",Real-time strategy,"['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/Warcraft_II:_Tides_of_Darkness,N/A,9.0,Ron Millar,Chris Metzen,,Warcraft,
Diablo,https://en.wikipedia.org/wiki/File:Diablo_Coverart.png,Blizzard North,"['Blizzard Entertainment,Davidson & Associates']",Bill Roper,David Brevik,Michio Okamura,Matt Uelmen,"['Microsoft Windows', 'PlayStation', 'Mac OS']","January 03, 1997",Action role-playing,"['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/Diablo_(video_game),94,8.6,"['David Brevik', 'Erich Schaefer', 'Max Schaefer', 'Eric Sexton', 'Kenneth Williams']","['Chris Metzen', 'Bill Roper', 'Eric Sexton', 'Erich Schaefer']",,Diablo,
Lost Vikings 2,https://en.wikipedia.org/wiki/File:Lost_Vikings_2_Boxshot.jpg,"['Blizzard Entertainment', 'Beam Software']",Interplay Productions,Feargus Urquhart,James Phinney,Samwise Didier,Glenn Stafford,"['Super NES', 'MS-DOS', 'Windows', 'Saturn', 'PlayStation', 'Switch', 'PlayStation 4', 'Xbox One']","February 27, 1997",Puzzle-platform,"['Single-player', '2 player cooperative']",https://en.wikipedia.org/wiki/The_Lost_Vikings_2,N/A,N/A,Ron Millar,,,,
StarCraft,https://en.wikipedia.org/wiki/File:StarCraft_box_art.jpg,Blizzard Entertainment,Blizzard Entertainment,,,,"['Derek Duke', 'Jason Hayes', 'Glenn Stafford', 'Tracy W. Bush']","['Microsoft Windows', 'Classic Mac OS', 'Nintendo 64']","March 31, 1998",Real-time strategy,"['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/StarCraft_(video_game),88,9.1,"['Chris Metzen', 'James Phinney']",,,StarCraft,
Diablo II,https://en.wikipedia.org/wiki/File:Diablo_II_Coverart.png,Blizzard North,Blizzard Entertainment,"['Mark Kern', 'Kenneth Williams']",Rick Seis,Phil Shenk,Matt Uelmen,"['Microsoft Windows', 'Classic Mac OS', 'macOS']","June 29, 2000","['Action role-playing', 'hack and slash']","['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/Diablo_II,88,8.7,"['David Brevik', 'Erich Schaefer', 'Max Schaefer']","['Kurt Beaver', 'Stieg Hedlund', 'Matthew Householder', 'Phil Shenk', 'Robert Vieira']","['David Brevik', 'Erich Schaefer', 'Max Schaefer']",Diablo,
Warcraft III: Reign of Chaos,https://en.wikipedia.org/wiki/File:WarcraftIII.jpg,Blizzard Entertainment,Blizzard Entertainment,Chris Sigaty,,,"['Tracy W. Bush', 'Derek Duke', 'Glenn Stafford']","['Microsoft Windows', 'Classic Mac OS', 'Mac OS X']","July 03, 2002",Real-time strategy,"['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/Warcraft_III:_Reign_of_Chaos,92,9.2,Rob Pardo,Chris Metzen,Frank Pearce Jr.,Warcraft,
World of Warcraft,https://en.wikipedia.org/wiki/File:World_of_Warcraft.png,Blizzard Entertainment,Blizzard Entertainment,,,,Jason Hayes,"['Microsoft Windows', 'macOS']","November 23, 2004",Massively multiplayer online role-playing,Multiplayer,https://en.wikipedia.org/wiki/World_of_Warcraft,93,7.4,"['Rob Pardo', 'Jeff Kaplan', 'Tom Chilton']",,,Warcraft,
StarCraft II: Wings of Liberty,https://en.wikipedia.org/wiki/File:StarCraft_II_-_Box_Art.jpg,Blizzard Entertainment,Blizzard Entertainment,Chris Sigaty,"['Carl Chimes', 'Bob Fitch']",Samwise Didier,"['Derek Duke', 'Glenn Stafford', 'Russell Brower', 'Neal Acree']","['Microsoft Windows', 'macOS']","July 27, 2010",Real-time strategy,"['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/StarCraft_II:_Wings_of_Liberty,93,8.3,Dustin Browder,"['Chris Metzen', 'Andrew Chambers', 'Brian Kindregan']",,StarCraft,
