Name,Image_link,Developer(s),Publisher(s),Writer(s),Composer(s),Series,Engine,Platform(s),Release,Genre(s),Mode(s),Source,Metascore,User Score,Designer(s),Artist(s),Director(s),Producer(s),Programmer(s)
Half-Life,https://en.wikipedia.org/wiki/File:Half-Life_Cover_Art.jpg,Valve,Sierra Studios,Marc Laidlaw,Kelly Bailey,Half-Life,GoldSrc,"['Windows', 'PlayStation 2', 'OS X', 'Linux']","November 19, 1998",First-person shooter,"['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/Half-Life_(video_game),96,9.1,,,,,
Team Fortress Classic,https://en.wikipedia.org/wiki/File:Team_Fortress_Classic_box.jpg,Valve,['Sierra Studios'],,,,GoldSrc,"['Microsoft Windows', 'OS X', 'Linux']","April 07, 1999",First-person shooter,Multiplayer,https://en.wikipedia.org/wiki/Team_Fortress_Classic,N/A,7.2,"['John Cook', 'Robin Walker']",,,,
Counter-Strike,https://en.wikipedia.org/wiki/File:Counter-Strike_Box.jpg,Valve,['Sierra Studios'],,,Counter-Strike,GoldSrc,"['Windows', 'Xbox', 'OS X', 'Linux']","November 09, 2000",First-person shooter,Multiplayer,https://en.wikipedia.org/wiki/Counter-Strike_(video_game),88,9.2,"['Minh Le', 'Jess Cliffe']",,,,
Day of Defeat,https://en.wikipedia.org/wiki/File:Day_of_Defeat_cover_art.jpg,Valve,['Activision'],,Michael Gordon Shapiro,,GoldSrc,"['Microsoft Windows', 'OS X', 'Linux']","May 06, 2003",First-person shooter,Multiplayer,https://en.wikipedia.org/wiki/Day_of_Defeat,79,9.0,,,,,
Counter-Strike: Condition Zero,https://en.wikipedia.org/wiki/File:CZbox.jpg,"['Ritual Entertainment', 'Turtle Rock Studios', 'Valve']",['Sierra Entertainment'],,,Counter-Strike,GoldSrc,"['Windows', 'OS X', 'Linux']","March 23, 2004",First-person shooter,"['Single-player', 'multiplayer']",https://en.wikipedia.org/wiki/Counter-Strike:_Condition_Zero,65,8.7,,,,,
Counter-Strike: Source,https://en.wikipedia.org/wiki/File:Counter-Strike_Source_(box_art).jpg,"['Valve', 'Turtle Rock Studios']",Valve,,,Counter-Strike,Source,"['Windows', 'Mac OS X', 'Linux']","October 07, 2004",First-person shooter,Multiplayer,https://en.wikipedia.org/wiki/Counter-Strike:_Source,88,8.9,,,,,
Half-Life 2,https://en.wikipedia.org/wiki/File:Half-Life_2_cover.jpg,Valve,['Valve'],Marc Laidlaw,Kelly Bailey,Half-Life,Source,"['Windows', 'Xbox', 'Xbox 360', 'PlayStation 3', 'Mac OS X', 'Linux', 'Android']","November 16, 2004",First-person shooter,Single-player,https://en.wikipedia.org/wiki/Half-Life_2,96,9.2,,Viktor Antonov,,,
Half-Life 2: Deathmatch,https://en.wikipedia.org/wiki/File:Half-Life_2_Deathmatch_cover.jpg,Valve,Valve,,,Half-Life,Source,"['Microsoft Windows', 'Mac OS X', 'Linux']","November 30, 2004",First-person shooter,Multiplayer,https://en.wikipedia.org/wiki/Half-Life_2:_Deathmatch,N/A,7.3,,,,,
Day of Defeat: Source,https://en.wikipedia.org/wiki/File:DODSourceCover.jpg,Valve,Valve,,Dan Haigh,,Source,"['Microsoft Windows', 'Mac OS X', 'Linux']","September 26, 2005",First-person shooter,Multiplayer,https://en.wikipedia.org/wiki/Day_of_Defeat:_Source,80,9.0,,,,,
Half-Life 2: Lost Coast,https://en.wikipedia.org/wiki/File:Half-Life_2_Lost_Coast_header.jpg,Valve,Valve,,,Half-Life,Source,"['Microsoft Windows', 'OS X', 'Linux']","October 27, 2005",First-person shooter,Single-player,https://en.wikipedia.org/wiki/Half-Life_2:_Lost_Coast,N/A,7.9,,,,,
